test,state,qg1Yes,qg1No,qg1(VOL) Other,qg1(VOL) Don't Know/Refused,se.qg1Yes,se.qg1No,se.qg1(VOL) Other,se.qg1(VOL) Don't Know/Refused
1,Alabama,0.961030067,0.022640094,0.007852637,0.008477202,0.011278645,0.008975189,0.005732266,0.004118393
2,Alaska,0.853822355,0.119058679,0.002743252,0.024375714,0.024837573,0.021919678,0.001968935,0.01320517
4,Arizona ,0.873132589,0.103171218,0.003859967,0.019836226,0.015544082,0.013860546,0.002323229,0.007487342
5,Arkansas ,0.94444964,0.041394121,0.003442869,0.01071337,0.014464126,0.01156773,0.002479754,0.008658463
6,California ,0.855689625,0.122201759,0.004814384,0.017294233,0.00691124,0.00651188,0.001199201,0.002362122
8,Colorado ,0.862903584,0.104984911,0.002793088,0.029318417,0.016266978,0.01428171,0.002312214,0.008102665
9,Connecticut ,0.851683489,0.115327422,0.003308174,0.029680914,0.020853044,0.018522367,0.002340481,0.010486239
10,Delaware ,0.907391126,0.07464948,0.002788769,0.015170625,0.024312319,0.023136259,0.002156852,0.008303036
12,Florida ,0.884887172,0.095779077,0.003963594,0.015370157,0.008103545,0.007502832,0.001880052,0.002850236
13,Georgia ,0.926089411,0.05855362,0.003441491,0.011915477,0.009513158,0.008583197,0.002096307,0.003844774
15,Hawaii,0.888065862,0.093321691,0.003403169,0.015209278,0.020739148,0.019497857,0.003401365,0.006639708
16,Idaho ,0.859523713,0.106775915,0.013944088,0.019756284,0.024259277,0.021507846,0.009888203,0.008408667
17,Illinois ,0.887881909,0.086422771,0.00640054,0.01929478,0.00970349,0.008559181,0.002662098,0.004236203
18,Indiana ,0.882203293,0.095122294,0.013595393,0.00907902,0.014890558,0.013643101,0.005375747,0.003906272
19,Iowa ,0.892306205,0.089877216,0.003948216,0.013868363,0.020760202,0.01952582,0.003132918,0.007290782
20,Kansas ,0.90947252,0.072789887,0,0.017737594,0.020020927,0.017125036,0,0.011205343
21,Kentucky ,0.89648453,0.084486574,0.010129151,0.008899745,0.020359571,0.018285192,0.00922768,0.004161183
22,Louisiana ,0.927857321,0.059905293,0.006503984,0.005733402,0.012844442,0.011970983,0.003902147,0.002963205
23,Maine ,0.82037152,0.157234562,0.007652537,0.01474138,0.02668452,0.025808743,0.005407511,0.006186947
24,Maryland ,0.859279364,0.104782678,0.015801126,0.020136832,0.016777891,0.015187411,0.006096128,0.005274144
25,Massachusetts ,0.78217084,0.178044662,0.009865908,0.02991859,0.018594179,0.01749566,0.003488482,0.007155395
26,Michigan ,0.896118568,0.087218268,0.006475599,0.010187565,0.011291701,0.010503968,0.002982306,0.003510715
27,Minnesota ,0.873172623,0.091737947,0.01146978,0.023619649,0.017031868,0.014707406,0.006194921,0.007455838
28,Mississippi ,0.944752578,0.042380959,0,0.012866463,0.015217287,0.013426252,0,0.007517935
29,Missouri ,0.927569351,0.058160747,0.002437667,0.011832235,0.010750797,0.009346402,0.001894369,0.0052528
30,Montana ,0.910064303,0.079093975,0.00119627,0.009645453,0.016909579,0.015760177,0.001197778,0.006320773
31,Nebraska ,0.890617726,0.085102315,0.015585893,0.008694065,0.022866539,0.020860261,0.008002289,0.007119985
32,Nevada ,0.854506304,0.121406854,0.00362749,0.020459352,0.024961249,0.02397296,0.003622788,0.007615929
33,New Hampshire ,0.78488987,0.159841715,0.028366736,0.026901679,0.03034532,0.026655014,0.015006311,0.010307613
34,New Jersey ,0.893146242,0.083856016,0.010056501,0.012941241,0.011478591,0.010276526,0.004102001,0.00366336
35,New Mexico,0.872653921,0.1116067,0.007338386,0.008400992,0.023218752,0.022347043,0.004624096,0.005269296
36,New York ,0.849668295,0.121218329,0.010083482,0.019029894,0.009322375,0.008607088,0.002644572,0.003149054
37,North Carolina ,0.911549913,0.073801768,0.003349289,0.011299031,0.010992631,0.009947332,0.001575383,0.004833514
38,North Dakota ,0.899824171,0.079234659,0.013907084,0.007034086,0.021198084,0.018440565,0.010586962,0.00452196
39,Ohio ,0.908092182,0.071712419,0.004790114,0.015405285,0.010800093,0.009807355,0.002633125,0.004247028
40,Oklahoma ,0.922527867,0.064535526,0.00431957,0.008617036,0.01631402,0.014855038,0.003200965,0.006509012
41,Oregon ,0.825857859,0.134248746,0.016766453,0.023126943,0.021352926,0.018861114,0.007329748,0.008968538
42,Pennsylvania ,0.87971816,0.099243961,0.005712458,0.015325421,0.010830212,0.010029675,0.002225633,0.004099838
44,Rhode Island ,0.835262842,0.114632134,0.011325946,0.038779078,0.033296002,0.027458305,0.008085079,0.020275849
45,South Carolina ,0.928142446,0.054801609,0.007233848,0.009822097,0.013931673,0.01212347,0.00511554,0.005255801
46,South Dakota ,0.922066055,0.073893085,0,0.00404086,0.019866156,0.019622894,0,0.003399662
47,Tennessee ,0.957197101,0.034628151,0.002457547,0.0057172,0.009604806,0.009106121,0.001490036,0.002799085
48,Texas ,0.924710259,0.061114477,0.003493254,0.01068201,0.006066393,0.005505617,0.001144218,0.002477102
49,Utah ,0.900244727,0.075170068,0.000545497,0.024039707,0.019615857,0.016722231,0.000546632,0.010874709
50,Vermont ,0.730733482,0.209791414,0.011078404,0.048396701,0.030633111,0.0277384,0.005804219,0.016333106
51,Virginia ,0.900634063,0.077164056,0.005744833,0.016457048,0.011624938,0.010686531,0.002366111,0.004293036
53,Washington,0.845724478,0.131853977,0.003683129,0.018738416,0.015506148,0.014427744,0.002019253,0.006268415
54,West Virginia ,0.932074363,0.047151165,0.007906302,0.01286817,0.018386,0.015491626,0.007862138,0.007055288
55,Wisconsin ,0.861705842,0.116763519,0.004941814,0.016588825,0.016586691,0.015674993,0.002449474,0.005758157
56,Wyoming ,0.897821986,0.064273905,0.015126829,0.02277728,0.021864625,0.014460598,0.011835142,0.013073649